,Bulgaria,Sweden,CN: Liaoning  Province,CN: Heilongjiang  Province,CN: Shanxi Province,CN: Shaannxi  Province,CN: Hebei Province,CN: Beijing,CN: Jiangsu  Province,CN: Fujian  Province,CN: Shandong  Province,CN: Zhejiang  Province,CN: Shanghai,CN: Guangdong  Province,CN: Hunan  Province,CN: Hubei  Province,CN: Henan  Province,CN: Jiangxi  Province,CN: Anhui  Province,CN: Guizhou Province,CN: Guangxi  Province,Cyprus,Finland,Italy,Poland,Romania,Slovenia,Great Britain,France,Germany,IN: Assam,IN: Karnataka,IN: Punjab,IN: Kerala,IN: Orrisa,IN: Andhra Pradesh,IN: Bihar,IN: Gujarat,IN: Madhya Pradesh,IN: Maharashtra,IN: Rajasthan,IN: Tamil Nadu,IN: Uttar Pradesh,IN: West Bengal,Netherlands,Spain,US: West North Central,US: East South Central,US: South Atlantic,US: Middle Atlantic States,US: East North Central,US: New England,US: West South Central,US: Rocky Mountain state,US: California,Hungary,US: Pacific,Estonia,CN: Gansu
IN: Assam,0.245207007,0.507360097,0.164123396,0.139660302,0.166543758,0.185108207,0.257153363,0.161033231,0.175064999,0.138586127,0.285598944,0.166000485,0.180691409,0.169268407,0.182006143,0.215355829,0.164315261,0.17331643,0.188228201,0.185240678,0.162634843,0.201361328,0.324556689,0.267344316,0.30850159,0.356436524,0.340143156,0.235346275,0.233833623,0.319449844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IN: Karnataka,0.296062445,0.512000637,0.135620254,0.135406646,0.160169677,0.175634486,0.212578273,0.164759866,0.176311933,0.160979592,0.235774243,0.157284614,0.180584391,0.149560066,0.158234873,0.173082546,0.148445112,0.186392583,0.182522174,0.177910662,0.153220086,0.276853803,0.294565627,0.236626505,0.265540468,0.368091494,0.333939883,0.243239042,0.222396647,0.395489499,0.109559917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IN: Punjab,0.285200609,0.683575831,0.143254595,0.114774461,0.156563214,0.151200178,0.215656951,0.163015984,0.161160576,0.108184438,0.24041622,0.151263665,0.169338728,0.156499059,0.158747623,0.183947104,0.150465773,0.140464435,0.156109569,0.173003938,0.15705094,0.233995584,0.390814984,0.289816146,0.313754644,0.400631331,0.412411097,0.314275503,0.301282833,0.448809279,0.123382746,0.114721214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IN: Kerala,0.25488942,0.494692379,0.123446528,0.105330561,0.126443673,0.140149501,0.185932135,0.13538551,0.128997576,0.102959348,0.200671975,0.142874781,0.151044155,0.132642861,0.132488814,0.15162864,0.121710608,0.122059876,0.134100846,0.136728585,0.121114507,0.25851626,0.249287665,0.232974913,0.277370165,0.385951109,0.318152009,0.261294445,0.273855502,0.27333178,0.104498816,0.129073492,0.108129877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IN: Orrisa,0.267369476,0.692806792,0.157698595,0.13299646,0.166761648,0.17479336,0.220515667,0.177852089,0.182492111,0.117324269,0.251612848,0.173615432,0.184310488,0.162524133,0.165620932,0.204194653,0.162751281,0.155966421,0.166889088,0.168892178,0.161319312,0.187276103,0.320111981,0.209166389,0.20881448,0.227044721,0.386386482,0.264634975,0.265528269,0.393555712,0.140981855,0.117969996,0.11026727,0.103807945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IN: Andhra Pradesh,0.163430527,0.532559428,0.12102485,0.11727997,0.135145614,0.159643412,0.162489747,0.154546349,0.141414296,0.141856457,0.175204526,0.152217747,0.164526558,0.108315844,0.133123868,0.13905538,0.115373321,0.152012484,0.159335109,0.152357066,0.104788652,0.167659328,0.25076755,0.197442149,0.18485987,0.228877215,0.266507789,0.216216676,0.213265281,0.320282753,0.104277242,0.084491094,0.118649671,0.110925178,0.093927759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IN: Bihar,0.158111047,0.451143604,0.124080106,0.117753263,0.143778973,0.160037368,0.19104186,0.161121886,0.159506831,0.137308103,0.171682599,0.154070777,0.181883864,0.128074918,0.151167938,0.13935285,0.128521501,0.15438869,0.16296617,0.17064892,0.119038709,0.143199259,0.229992442,0.176750809,0.187399133,0.238368917,0.224481704,0.199128457,0.193576092,0.291922562,0.126122036,0.085534558,0.100180169,0.113200122,0.104293963,0.076880754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IN: Gujarat,0.34371156,0.709918755,0.178547961,0.186250131,0.190202913,0.190300063,0.208130284,0.21202711,0.209916998,0.160854359,0.270250484,0.181691697,0.210999146,0.1993479,0.20379527,0.231006776,0.188616968,0.200329319,0.207398685,0.200366751,0.193163719,0.27657546,0.417766893,0.367997333,0.324434549,0.371068779,0.435222509,0.311914849,0.321139664,0.563595354,0.166430929,0.168087286,0.147077183,0.192063715,0.187813962,0.188134229,0.160262034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IN: Madhya Pradesh,0.222281801,0.617365438,0.162964368,0.185402864,0.197320282,0.225959231,0.231457613,0.233704351,0.201180079,0.17696848,0.239420269,0.186061225,0.279564717,0.177265403,0.214611972,0.216177071,0.190561844,0.257363209,0.26201829,0.230205758,0.181066083,0.20846776,0.326314482,0.232269421,0.283118856,0.312525821,0.342103483,0.287779275,0.284586027,0.448113594,0.145989699,0.11974445,0.117364467,0.16723502,0.131989382,0.112071125,0.101898823,0.154521848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IN: Maharashtra,0.152903686,0.391829192,0.133337153,0.12900665,0.146110887,0.177265573,0.165147002,0.180918639,0.145591092,0.145252567,0.142295558,0.169937832,0.21250775,0.126830818,0.153048171,0.146135172,0.13628065,0.202236401,0.205713254,0.17165156,0.112213411,0.144983411,0.198702648,0.17492396,0.191991488,0.262255932,0.247666473,0.169478981,0.156226491,0.304326137,0.109467648,0.07361751,0.116342962,0.121546779,0.112247745,0.0596276,0.065017936,0.158766505,0.095525212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IN: Rajasthan,0.215188406,0.660862232,0.175047477,0.163775678,0.190469538,0.20370185,0.235369132,0.217907309,0.187503884,0.156506578,0.227492248,0.202010792,0.291504174,0.18884215,0.194101466,0.193415662,0.164083294,0.230554436,0.234920762,0.209489592,0.174758104,0.191978333,0.316457035,0.217833353,0.25173672,0.263031804,0.364165337,0.303007045,0.301097222,0.483537188,0.180460227,0.138663663,0.118196629,0.143168725,0.114375853,0.108073472,0.102280636,0.167201936,0.113269805,0.093372184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IN: Tamil Nadu,0.229479621,0.459978801,0.118818591,0.110181602,0.129476708,0.143751252,0.177493133,0.147014321,0.149151951,0.141250794,0.170248008,0.132928513,0.16635371,0.130841812,0.147235956,0.138593916,0.126224356,0.159779766,0.155876266,0.161405406,0.119386575,0.247641731,0.241336122,0.211525284,0.270323233,0.404922307,0.271246735,0.211434738,0.188739911,0.33973301,0.157760671,0.063868144,0.129694065,0.149309342,0.129501647,0.090398662,0.080946986,0.18508224,0.13145143,0.070376359,0.130068955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IN: Uttar Pradesh,0.143539712,0.386428648,0.130704332,0.144456196,0.162690223,0.199041245,0.19954659,0.193175375,0.191443337,0.150833172,0.156696551,0.171319769,0.217059972,0.137592126,0.186387117,0.164440281,0.149080371,0.204924208,0.203354931,0.201065226,0.132140602,0.130291994,0.202725942,0.143035245,0.16898005,0.206236018,0.216722233,0.163047997,0.158991576,0.292339745,0.126871553,0.079315304,0.10415498,0.148555221,0.105319661,0.076397538,0.042576366,0.140499001,0.065327038,0.058766705,0.110894328,0.078157609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IN: West Bengal,0.185456001,0.527971663,0.119720708,0.115752656,0.139563523,0.167362709,0.180759902,0.168350978,0.164598424,0.124290573,0.173252728,0.156245171,0.180930779,0.12012433,0.170144335,0.148855613,0.12839246,0.146740485,0.142882837,0.156287214,0.117803641,0.194718816,0.301103197,0.195692202,0.199643492,0.216189523,0.283734745,0.260882618,0.25061756,0.314601553,0.133811127,0.120044417,0.138147143,0.105699836,0.100944551,0.083796817,0.072042389,0.172753486,0.117249411,0.085826911,0.130331121,0.116086859,0.069870477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,0.154871129,0.049266344,0.291658235,0.32115408,0.297379599,0.358417725,0.410634252,0.272895874,0.324352578,0.380091325,0.242009718,0.299784535,0.360412074,0.252812189,0.318020094,0.29324368,0.291179524,0.372011895,0.432031034,0.348374365,0.304239833,0.1039906,0.059403105,0.090131698,0.121937303,0.175177889,0.057834405,0.04468362,0.05801104,0.034290432,0.372671117,0.445012274,0.641385108,0.411966666,0.580406576,0.414192607,0.419668625,0.530577295,0.570851097,0.35762359,0.645534558,0.427245333,0.377430883,0.454830195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spain,0.073671867,0.092120581,0.216399587,0.243053674,0.256817201,0.304937452,0.337079532,0.253533494,0.290259935,0.259321245,0.207055013,0.239529784,0.299655914,0.180722913,0.269396471,0.245623427,0.236914718,0.315132485,0.320079191,0.28242361,0.218419832,0.052736929,0.079110857,0.063138568,0.086929814,0.128045536,0.045220319,0.045986691,0.035438352,0.044228849,0.295294143,0.297211143,0.380905421,0.341726434,0.338324499,0.250116414,0.228918258,0.527666522,0.360855711,0.250709317,0.371238716,0.29871077,0.218431141,0.26306366,0.051288257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US: West North Central,0.238142333,0.222957034,0.145851416,0.162338325,0.161673261,0.197502558,0.215215716,0.162878729,0.187707192,0.162880155,0.204227555,0.170773674,0.222693899,0.136886005,0.182318447,0.174406364,0.152842552,0.222849815,0.227413222,0.18608466,0.153005381,0.137625089,0.100753923,0.102961437,0.150287858,0.246451504,0.16691525,0.054885688,0.10121659,0.179798398,0.164881277,0.143761709,0.215777944,0.175814902,0.17280485,0.134401821,0.160830885,0.234487098,0.165676508,0.15129978,0.178278546,0.167753788,0.136713693,0.167934345,0.156736818,0.152824759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
